group_name,company,group_type,debute_year,disband_year,current_status,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,foreign_other_singles,others,last_production_year
FLASHE,play_music_entertainment,Female,2012,2020,Disband,6,0,4,1,5,13,0,0,1,0,0,7,4,0,0,0,0,0,0,0,2018
flor_us,yeom_entertainment,Female,2018,0,Active,3,0,3,3,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2020
Floria,dk_entertainment,Female,2020,0,Active,4,0,4,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2020
Flying Girls,doll_communications,Female,2009,2009,Disband,0,0,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009
FlyWithMe,fa_entertainment,Female,2018,0,Active,0,0,5,3,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2020
G-(i)Kon,d-day_entertainment,Female,2019,2020,Disband,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
G-reyish,big_ocean_enm,Female,2017,0,Active,6,0,4,3,4,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2021
Gangkiz,core_contents_media,Female,2012,2014,Disband,2,0,7,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
Gavy NJ,good_fellas_entertainment,Female,2005,0,Active,3,0,3,0,3,7,0,7,3,0,0,23,0,0,0,0,0,0,0,17,2020
GBB,probeat_company,Female,2018,2020,Disband,3,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
GeeGu,gf_entertainment,Female,2017,2021,Disband,5,0,6,6,9,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2019
GFRIEND,source_music,Female,2015,0,Active,11,0,6,6,6,0,0,3,10,0,0,0,0,1,0,0,3,2,0,2,2020
GI,simtong_entertainment,Female,2013,2016,Disband,3,0,5,2,5,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2015
GIRL CRUSH,dam_entertainment,Female,2019,0,Active,3,0,4,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
Girl's Day,dreamt_entertainment,Female,2010,2017,Disband,8,0,4,2,5,5,0,2,6,1,9,0,1,0,0,0,1,0,0,0,2017
Girl2School,dni_works,Female,2010,2015,Disband,3,0,3,0,10,20,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2014
GIRLKIND,nextlevel_entertainment,Female,2018,0,Active,4,1,5,0,5,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,2020
GIRLS GIRLS,h_brothers_entertainment,Female,2015,2019,Disband,4,0,2,2,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2016
Girls' Generation,sm_entertainment,Female,2007,0,Active,8,0,8,8,9,1,2,6,4,4,2,5,5,3,0,0,9,3,0,7,2017
Girls2000,colabs,Female,2020,0,Active,5,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021
GLAM,colabs,Female,2012,2015,Disband,3,0,4,4,5,1,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2014
GLOSS,futures,Female,2019,0,Active,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
GOOD DAY,c9_entertainment,Female,2017,2019,Disband,4,0,10,10,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
GP Basic,jacyhan_international,Female,2010,2015,Disband,0,0,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2014
GROW.B,midum_entertainment,Female,2019,2019,Disband,1,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019
GsA,roots_entertainment,Female,2017,0,Active,5,0,3,3,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019
Gugudan,jellyfish_entertainment,Female,2016,2020,Disband,5,0,8,8,9,1,2,0,3,0,2,0,0,0,0,0,0,0,0,4,2018
GWSN,miles,Female,2018,0,Active,8,0,7,7,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2020
H.U.B,new_planet_entertainment,Female,2017,2019,Disband,6,0,5,1,4,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2018
H2L,regolith_entertainment,Female,2015,2017,Disband,1,0,3,3,5,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2017
HADY,kings_entertainment,Female,2015,2017,Disband,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015
HAM,lee_yeon_entertainment,Female,2009,2011,Disband,2,0,3,3,4,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2011
Hashtag,luk_factory,Female,2017,0,Active,5,0,7,7,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2019
Heart,kcent_entertainment,Female,2016,2017,Disband,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
HELLOVENUS,fantagio_music,Female,2012,2019,Disband,3,0,6,4,6,4,0,0,5,1,1,4,0,0,0,0,0,0,0,3,2018
HEXE,serenity_music,Female,2015,2016,Disband,1,0,5,5,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2016
HeyGirls,moai_entertainment,Female,2012,0,Active,5,1,6,0,6,21,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2021
HeyMiss,cg_entertainment,Female,2016,0,Active,2,0,3,3,8,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
HI CUTIE,space_music_entertainment,Female,2017,0,Active,5,0,4,3,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,1,2021
Hi.D,heroes_factory,Female,2016,2016,Disband,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Hibana,to_hermitage,Female,2020,0,Active,3,0,3,3,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2020
HighSchool,richworld_entertainment,Female,2017,0,Active,6,0,3,1,4,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2020
HIGHTEEN,illusion_entertainment,Female,2016,0,Active,5,0,4,4,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2018
HINAPIA,osr_entertainment,Female,2019,2020,Disband,6,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
HINT,starpro_entertainment,Female,2017,0,Active,5,0,5,5,8,3,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2020
HOLICS,lpa_entertainment,Female,2016,0,Active,5,0,5,3,5,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2019
