Group Name,Company,Group Type,Debute Year,Disband Year,Current Status,Social Accounts,Inactive Members,Current Members,Original Members Remainding,Initial Members,Member Changes,SubUnits,Albums,Mini Albums, Other Albums,Singles,Digital Singles,Other Singles,Foreign Albums, Foreign Mini Albums,Foreign Other Album,Foreign Singles,Foreign Digital Singles,Foreign Other Singles,Others,Last Production Year
Forestella,Universal Music Korea,Male,2018,,Active,4,0,4,4,5,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,2020
FTISLAND,FNC Entertainment,Male,2007,,Active,7,0,3,6,4,0,0,17,0,0,5,0,0,11,0,0,21,0,0,0,2019
GHOST9,Maroo Entertainment,Male,2020,,Active,4,0,9,9,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2021
GIDONGDAE,2Y Entertainment,Male,2021,2021,Disband,0,0,5,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020
god(1),JYP Entertainment,Male,1999,2005,Disband,2,0,5,5,4,0,0,8,5,1,0,1,0,0,0,0,0,0,0,2,2005
god(2),JYP Entertainment,Male,2014,,Active,1,0,5,5,6,0,0,2,1,0,4,1,0,0,0,0,0,0,0,1,2020
Golden Child,Woollim Entertainment,Male,2017,,Active,1,0,10,11,5,1,0,6,0,0,3,0,0,0,0,0,0,0,0,3,2021
GOT7,JYP Entertainment ,Male,2014,,Active,12,0,7,7,6,0,2,15,0,0,4,0,0,5,0,0,9,0,0,1,2021
GreatGuys,DNA Entertainment,Male,2017,,Active,5,0,9,9,8,0,0,4,0,0,4,1,0,0,0,0,0,0,0,0,2021
H.O.T,SM Entertainment,Male,1996,2001,Disband,0,0,5,5,5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,2,2001
HALO,HISTAR Entertainment,Male,2014,,Active,6,0,6,6,4,0,0,3,0,0,5,1,0,1,0,0,4,0,0,1,2018
HBY,OPUS Entertainment,Male,2017,2020,Disband,2,0,4,5,4,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2019
HeartB,Marblepop Entertainment,Male,2014,2016,Disband,7,0,4,4,4,0,0,2,2,0,4,1,0,0,0,0,0,0,0,0,2015
Herycle,Gul Dduk Entertainment,Male,2012,2014,Disband,1,0,5,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2014
Hidden,Yanus Music,Male,2015,2016,Disband,7,0,5,5,5,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2016
HIDDEN FOLDER,Real Music Society,Male,2018,,Active,7,0,4,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020
HIGH4,N.A.P. Entertainment,Male,2014,2017,Disband,0,0,4,4,5,0,1,2,0,0,6,1,0,2,0,0,0,0,0,0,2017
Highlight ,Around US Entertainment,Male,2016,,Active,6,0,4,4,3,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,2021
BEAST,Cube Entertainment ,Male,2009,2016,Disband,0,0,6,6,5,0,0,12,2,0,11,6,0,3,0,0,17,0,0,12,2016
HISTORY ,FAVE Entertainment,Male,2013,2017,Disband,2,0,5,5,3,0,0,5,1,0,1,3,0,1,0,0,2,0,0,0,2016
HONEYST,FNC Entertainment,Male,2017,2019,Disband,6,0,4,4,7,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,2019
HOTSHOT,Star Crew Entertainment,Male,2014,2021,Disband,8,0,6,6,3,0,0,2,1,0,3,1,0,0,0,0,1,0,0,0,2018
Hwang Project,Jellyfish Entertainment,Male,2008,2011,Disband,2,0,3,3,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2011
I-REX,Tarzan Entertainment,Male,2013,2014,Disband,0,0,5,5,13,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2013
ikon,YG Entertainment,Male,2015,,Active,2,0,6,7,4,1,0,6,0,0,5,2,0,15,0,0,3,0,0,0,2021
im,MBK Entertainment,Male,2017,,Active,0,0,3,4,5,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,2017
IMFACT,Star Empire Entertainment,Male,2016,,Active,5,0,5,5,4,0,0,1,2,0,9,1,0,1,0,0,0,0,0,5,2020
IN2IT,MMO Entertainment,Male,2017,,Active,4,0,6,8,11,2,0,1,0,0,4,2,0,0,0,0,2,0,0,2,2020
infinte,Woollim Entertainment,Male,2010,,Active,0,0,6,7,11,1,2,12,0,0,10,0,0,3,0,0,7,0,0,3,2019
INX,NA Entertainment,Male,2016,2017,Disband,3,0,5,5,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2017
IZ,Music K Entertainment,Male,2017,,Active,3,0,4,4,7,0,0,2,4,0,6,5,0,0,0,0,0,0,0,0,2021
JACE,Right Achievement Group,Male,2014,2016,Disband,3,0,5,5,5,0,0,1,4,0,2,8,2,0,0,0,0,0,0,1,2015
Jacoby Planet,C9 Entertainment,Male,2015,,Active,5,0,4,5,12,1,0,1,1,0,3,3,0,0,0,0,0,0,0,1,2018
JBJ,LOEN Entertainment,Male,2017,2018,Disband,0,0,6,6,4,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,2018
JJCC,Jackie Chan Group Korea,Male,2014,,Active,0,0,5,7,3,2,0,2,0,0,4,1,0,0,0,0,2,0,0,0,2016
JUO,Soundbox Music,Male,2020,,Active,3,0,4,4,3,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2020
JYJ,C-JeS Entertainment,Male,2010,,Active,2,0,2,3,6,1,0,3,0,0,2,0,0,2,0,0,1,0,0,0,2015
KingdomS,Independent,Male,2018,2018,Disband,8,0,3,3,4,0,0,0,7,0,1,2,0,0,0,0,0,0,0,0,2018
KINGDOM ,GF Entertainment,Male,2021,,Active,5,0,7,7,4,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2021
KNK,220 Entertainment,Male,2016,,Active,0,0,5,5,5,2,0,3,0,0,6,3,1,0,0,0,1,0,0,0,2020
KOKOON,Yoonseo Group,Male,2018,,Active,6,0,5,5,8,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,2020
LA POEM,Moss Music,Male,2020,,Active,0,0,4,4,4,0,0,1,0,0,0,2,0,0,0,0,0,3,0,1,2021
LC9,Nega Network,Male,2013,2015,Disband,7,0,6,6,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2014
